distance_km,num_stops,weight_kg,month,origin_congestion,destination_congestion,weather_severity_encoded,carrier_delay_rate,route_avg_delay_days,cargo_type_encoded,origin_port_encoded,destination_port_encoded,carrier_encoded,delayed
8552.612555218293,3,14086.510323082439,12,0.4136781134268045,0.900081826774984,0,0.5313455979167355,3.415027195106173,2,9,0,0,1
20940.357587813196,1,20483.680267948515,9,0.7339878340943856,0.6830081508617984,0,0.42839329193791637,3.1904855364745552,4,7,7,0,1
16237.86974894521,4,27362.058956021872,11,0.8285592988743544,0.7612051709476738,2,0.586737648758725,8.39991061130286,4,0,6,4,1
13371.157410236287,2,24780.563776589453,3,0.06228594868309778,0.21600993369706023,0,0.10108365265150879,3.4514319948468817,0,1,2,1,0
3854.400769512385,2,13572.854160197636,11,0.6806145194641273,0.9126496129348101,0,0.43975727005978144,6.321820220268534,2,7,6,3,1
3853.882187228357,2,11694.71640764673,7,0.28893871739897004,0.44721324217921077,0,0.33863781905800683,5.37074511521499,0,7,8,2,0
1748.7976616162885,0,7269.414191437019,4,0.07459695933312538,0.16106733091280478,0,0.13008337084592247,2.6296738259011097,3,8,6,1,0
19122.787134161106,0,11235.559860161451,12,0.48910258175466725,0.7997871914274612,2,0.4121277623022546,3.316400712331844,5,6,3,1,1
13423.972752478989,2,3420.2869800277595,12,0.15815334320414598,0.35639301763297415,0,0.48974052381971844,9.431928899047087,2,7,0,0,0
15723.560422614977,3,29136.05470010616,1,0.7370075180616847,0.18411914296162124,1,0.1406115326276527,3.3137287319993156,5,1,8,3,1
942.5666273597526,3,17260.13157439141,8,0.7412617996994535,0.25625115917059504,0,0.48641989079929704,7.8400343097894085,4,7,7,4,0
21353.06182148288,0,3921.3946995768656,12,0.8420677649875095,0.03494898039047023,0,0.10113384246833801,8.61275490100843,5,2,2,4,0
18397.516777209068,2,10648.899677050582,4,0.3775686851477522,0.090622982893385,1,0.37527006107235955,0.7103799577663983,5,9,9,4,0
5065.290879582937,3,16456.470394257616,11,0.013309797230643627,0.5926247353861251,1,0.48915856019083526,6.631055002136872,4,3,8,1,0
4409.236794952663,0,16033.280535562002,6,0.2597359383744797,0.8662178280944557,0,0.13027625877864535,7.4926056069452365,5,6,4,2,0
4443.196961848827,2,1161.5507246871075,7,0.4678116995252769,0.44853041339882616,0,0.3643355020929957,4.340216841869441,4,6,3,1,1
7041.208223630061,1,28530.14692345043,8,0.6940112794160505,0.6260581422997227,0,0.28368301766291626,5.693250763625429,2,5,5,4,0
11782.263280093113,2,8333.732876100845,10,0.3820405856867414,0.8097331012292842,2,0.38400146294878773,1.6180585543540238,4,0,6,2,1
9786.817900805489,2,583.9216010635465,2,0.536048396067138,0.35676891045806935,1,0.2833219352254806,3.1849726074069675,5,8,5,0,1
6761.4265142579015,4,2385.675867613446,9,0.5242635874557169,0.6543140703513343,0,0.18800152790715752,7.076669639384412,5,2,8,0,0
13654.837236531159,4,17447.827607114512,10,0.16498234935831657,0.350432425790954,0,0.1895959944645061,6.025712332676777,3,9,0,2,0
3499.1180040188992,1,4219.7870681853965,3,0.6230495000800127,0.6427153547720692,0,0.5255851028668974,1.3638574362577494,5,3,3,3,0
6781.10994350719,1,1347.571306319748,1,0.4392517282053978,0.217607720139248,1,0.1360498748742173,9.880486980948973,1,1,0,0,1
8376.779630814372,2,11450.831345740069,2,0.807918701652493,0.97783965427042,0,0.11771283816733039,9.377891233993441,2,4,9,1,1
10305.504660666273,3,18720.559650971638,8,0.6906112081288999,0.07617776855654335,0,0.10339352903800417,2.241172842546595,1,5,6,4,0
17381.28316994979,1,3444.01016476421,10,0.11146918619755464,0.5052328495225576,2,0.09078512149100798,8.751205632891894,0,5,3,0,0
4792.986316404735,2,9468.502181324335,6,0.4887584100365685,0.286296413052077,0,0.057970704011499924,2.671693027370133,0,0,0,2,0
11556.04042589265,0,12591.044081573813,11,0.7024943584941874,0.6008378348160848,0,0.1382232097806338,5.637391303752118,2,3,0,0,0
13236.913230533914,4,4867.856923824338,1,0.08701172580734262,0.42830697991091105,0,0.15600008919684277,7.820510034103551,4,9,7,2,0
1498.6838734799512,3,15231.609564154633,11,0.7924970325566315,0.306665587609927,0,0.19834823314370048,3.440802010193329,0,3,3,2,0
13562.214315880925,2,2647.90119836295,9,0.2220045146443994,0.25003763828293546,0,0.11822171407566853,5.551473934582213,0,2,9,3,0
4166.268659276768,0,1490.903040717553,7,0.5030847954736897,0.18249861419761482,1,0.10178571965615946,4.503536081375823,5,6,2,0,0
1898.6092491835095,4,15643.07747793853,10,0.9405612874726361,0.7828793161887624,0,0.3478121991350856,7.601986165614386,3,3,8,4,1
20901.039050946663,0,7512.119485251182,11,0.571334234822284,0.22219993709364605,0,0.44527754349319815,4.7867570537896,0,6,1,0,0
21261.088711103028,2,2951.676856151023,3,0.4240544517039474,0.7735261963759154,0,0.39660294755161435,5.669111978485807,0,2,4,2,0
17880.542984503914,1,12774.986365880204,7,0.0067949273991426695,0.4850386091543447,0,0.3561885029286586,8.455576979362869,0,3,1,0,0
7049.19603722747,4,27462.7081115701,6,0.1334136227740781,0.07222802135619821,0,0.2923100746797482,6.986455376360908,4,2,2,4,0
2599.9504511372534,0,21753.354154959234,3,0.5786638850979876,0.16544267765373588,0,0.39868913645818604,5.2750327539530115,0,3,4,3,0
15211.010070011373,1,24486.915868876124,8,0.4938250406537382,0.8929046441221986,0,0.5460267239003982,4.612915959244017,2,9,1,3,0
9963.278615401428,3,26170.22826388323,1,0.36382917564683137,0.6028158220051297,1,0.3950801318143782,1.2676565200176826,5,3,6,3,0
3123.822049162745,2,29181.569467752928,5,0.9232158853941174,0.18433317872168442,0,0.0834735950970898,0.5636648303543068,4,3,1,2,0
11146.30356739231,2,22921.072548073775,8,0.3324825374259408,0.7037649152008011,1,0.36373038857227274,9.527754265636084,3,2,9,1,0
1239.3532039771956,4,18291.396865990442,3,0.5371507564441066,0.82326174442849,0,0.3383179519393931,1.8652656254653799,5,5,4,2,1
20050.388644693816,0,11026.23382103719,11,0.5687134095241301,0.33065314755847486,1,0.29861278613362396,2.768717074772178,0,4,4,4,0
6063.769604400363,3,5531.132773075711,10,0.5274683900639227,0.5565952128107126,1,0.3628374205017347,6.1094853674675145,4,5,2,3,1
14744.229113610612,4,20631.1302321005,11,0.47758539154009927,0.293449970283137,1,0.4199397145429886,8.279257182173453,5,6,1,2,1
